name,rank,top_250_rank,kind,imdb_id,rating,director
Revenge of the Creature (1955),216,None,movie,0048554,5.1,Jack Arnold
Chinatown (1974),217,67,movie,0071315,8.5,Roman Polanski
The Wild Bunch (1969),218,195,movie,0065214,8.1,Sam Peckinpah
The Lord of the Rings: The Fellowship of the Ring (2001),219,19,movie,0120737,8.8,Peter Jackson
Mutiny on the Bounty (1935),220,None,movie,0026752,7.9,Frank Lloyd
El (1953),221,None,movie,0045361,7.8,Luis Buñuel
Full Metal Jacket (1987),222,85,movie,0093058,8.4,Stanley Kubrick
The Pride and the Passion (1957),223,None,movie,0050858,5.5,Stanley Kramer
This Is Spinal Tap (1984),224,None,movie,0088258,8.0,Rob Reiner
Winchester '73 (1950),225,None,movie,0043137,7.8,Anthony Mann
"""Star Trek: The Next Generation"" (1987)",226,None,tv series,0092455,8.8,Cliff Bole
"""Kojak"" (1973)",227,None,tv series,0069599,7.3,Charles S. Dubin
Gryozy (1915),228,None,movie,0005414,7.4,Yevgeni Bauer
"""Baywatch"" (1989)",229,None,tv series,0096542,4.9,Gregory J. Bonann
Heavy Metal (1981),230,None,movie,0082509,6.4,Gerald Potterton
The Day the Earth Stood Still (1951),231,None,movie,0043456,8.0,Robert Wise
Three Little Pigs (1933),232,None,movie,0024660,7.7,Burt Gillett
The Public Enemy (1931),233,None,movie,0022286,7.8,William A. Wellman
The Rocky Horror Picture Show (1975),234,None,movie,0073629,7.1,Jim Sharman
Rain Man (1988),235,None,movie,0095953,8.0,Barry Levinson
L'atalante (1934),236,None,movie,0024844,8.0,Jean Vigo
Persona (1966),237,204,movie,0060827,8.2,Ingmar Bergman
Dawn of the Dead (1978),238,None,movie,0077402,8.0,George A. Romero
"""Bonanza"" (1959)",239,None,tv series,0052451,7.4,William F. Claxton
Fatal Attraction (1987),240,None,movie,0093010,6.8,Adrian Lyne
It! The Terror from Beyond Space (1958),241,None,movie,0051786,6.0,Edward L. Cahn
"""Toast of the Town"" (1948)",242,None,tv series,0040053,8.3,John Moffitt
The French Connection (1971),243,None,movie,0067116,7.9,William Friedkin
Peter Pan (1953),244,None,movie,0046183,7.3,Clyde Geronimi
"""Miami Vice"" (1984)",245,None,tv series,0086759,7.8,John Nicolella
Star Wars: Episode I - The Phantom Menace (1999),246,None,movie,0120915,6.4,George Lucas
Goodfellas (1990),247,15,movie,0099685,8.8,Martin Scorsese
The Egyptian (1954),248,None,movie,0046949,6.2,Michael Curtiz
"""Hawaii Five-O"" (1968)",249,None,tv series,0062568,7.6,Michael O'Herlihy
"""Charlie's Angels"" (1976)",250,None,tv series,0073972,6.6,Dennis Donnelly
